,Tweet_Text,created,Twitter_screenname,Followers,id,location
1046,RT @airvistara: May your journey be filled with happiness and prosperity. #EidMubarak to you and your loved ones! 🌙🕌 https://t.co/S3ith5P0g1,2022-05-03 05:53:50+00:00,2022_laxman,25,1.52137E+18,
1047,@jojups12 @airvistara I also experienced the same finally gave up https://t.co/6G03vNabK5,2022-05-03 05:52:35+00:00,mathbob71,154,1.52137E+18,New delhi India
1048,"RT @jojups12: @airvistara this is how customer are kept on hold when you want to speak to a supervisor,waiting for more than an hour https:…",2022-05-03 05:51:53+00:00,mathbob71,154,1.52137E+18,New delhi India
1049,"@airvistara That bottle has been with me everywhere and has some amazing stickers from some of my favorite memories. If Kevin or any of the crew found it, please let me know! I will find a way to get it back!",2022-05-03 05:51:22+00:00,HayleyFlewelli1,2,1.52137E+18,
1050,"Dear @SBICard_Connect
This is messed up!
CC: @airvistara https://t.co/iqzge5viEg",2022-05-03 05:47:34+00:00,d_obzerver,392,1.52137E+18,New Delhi
1051,"@airvistara hi! I was on your flight from Delhi to Patna this morning (May 3, flight UK 717) in seat 26C. I think my green water bottle fell out of my backpack in the overhead bin. Has anyone found it?!? I would be so grateful.",2022-05-03 05:43:20+00:00,HayleyFlewelli1,2,1.52136E+18,
1052,"Vistara airlines unfortunately today my believes got shattered when I had to hold to speak to ur customer associates.Your voice recorder says that my call is important to u and associates will soon connect ,holding patiently for last 55 minutes and have wasted my time.@airvistara https://t.co/uBew8Mio2h",2022-05-03 05:40:42+00:00,mathbob71,154,1.52136E+18,New delhi India
1053,"@airvistara @airvistara, already sent a DM, no reply yet... 
My On Call waiting is almost 25min now...
Please confirm, if you can't support on on call service....",2022-05-03 05:30:17+00:00,CareerMentor_4u,123,1.52136E+18,Udaipur
1054,"@airvistara Dear Vistara Customer, your flight UK 628 on 03May from Udaipur to Delhi has been cancelled due to RUNWAY CLOSURE AT UDR. For further assistance please call 9289228888. Vistara regrets any inconvenience caused.
what do i do now????",2022-05-03 05:29:05+00:00,rajneeshjasavat,162,1.52136E+18,Jaipur
1055,@airvistara can i book todays flight (3rd may) from udaipur to mumbai or it is canclled due to some work at udaipur airport,2022-05-03 05:25:26+00:00,Adil53934858,3,1.52136E+18,
1056,"@airvistara I am waiting on a Call to connect to Vistara associate for more than 15min now... (really frustrating)

I need an update for my flight UK628 for today. URGENT",2022-05-03 05:24:20+00:00,CareerMentor_4u,123,1.52136E+18,Udaipur
1057,@theankur02 @airvistara agree 100% poor experience.,2022-05-03 05:20:27+00:00,pulkitnikk,2,1.52136E+18,
1058,@airvistara Do not book with @airvistara if in case you have to get refund for the cancellation or anything you will never get it. My pnr is JKWRY9 and they are not releasing my refund.,2022-05-03 05:19:41+00:00,pulkitnikk,2,1.52136E+18,
1059,@JASONCROWN8 @airvistara @DGCAIndia Yes my pnr number is JKWRY9 and they are not making any refund to me either and we can not reach them as they save your phone number in their system and do not take calls if it is for refund. Poor performing company. Mu,2022-05-03 05:17:50+00:00,pulkitnikk,2,1.52136E+18,
1060,I totally forgot how good @airvistara is 😴✈️,2022-05-03 05:15:44+00:00,11Shivansh,1206,1.52136E+18,"Bengaluru, India"
1061,@airvistara @airvistara refund the money for pnr JKWRY9,2022-05-03 05:14:28+00:00,pulkitnikk,2,1.52136E+18,
1064,@Vinamralongani @jetairways @airvistara @IndiGo6E It all started bcz recent reasons of not having Male crew initially came out in media like saving on hotel room cost etc. I don't understand why these management level decisions should even come out in soc,2022-05-03 04:58:48+00:00,saurav27,276,1.52135E+18,भारत
