,Tweet_Text,created,Twitter_screenname,Followers,id,location
266,"@JM_Scindia Dear Sir, I have been chasing @allianceair for refund against the code share flight booked on… https://t.co/Ad6Vil9Nws",2022-05-03 15:40:31+00:00,arpitrajtandon,23,1.52E+18,"Gurgaon, India"
267,"Qantas Group Careers : The Recruitment Process Is Started With Us.

APPLY NOW: https://t.co/0DgFpEzyMO… https://t.co/lhfYTnnLiM",2022-05-03 15:31:17+00:00,Emylee91435237,269,1.52E+18,
268,RT @sanakhanahmad1: @PMOIndia @narendramodi @airindiain @JM_Scindia @FlyWithIX @myogioffice @sharmarekha @Manekagandhibjp @MinistryWCD @bab…,2022-05-03 15:10:16+00:00,sanakhanahmad1,2,1.52E+18,
269,@DelhiAirport @airindiain My fatherinlaw is coming to Canada with a valid Visa on old passport. Your officials at M… https://t.co/N5lrSDrLtK,2022-05-03 13:57:48+00:00,ceerith,13,1.52E+18,
270,Nothing much has changed at #airindia . Flight is AI850 from Pune to New Delhi. And the boarding gate says boarding… https://t.co/cwmwutxUh7,2022-05-03 13:07:43+00:00,SandeepKondapa7,0,1.52E+18,
271,@yaadizzle We request you to visit https://t.co/ZajApD2b1F to know about the updated international travel guidelines.,2022-05-03 13:07:31+00:00,airindiain,562411,1.52E+18,"New Delhi, India"
272,"RT @BureaucratsInd: #Update @airindiain 

The ACC has approved appointment of Sri Vikram Dev Dutt, IAS (UT: 93) as Chairman &amp; Managing Dire…",2022-05-03 11:54:04+00:00,AshutosBharti,42,1.52E+18,
273,"Pondicherry, Trivandrum, Rameshwaram Dham, Vellore Yatra by Flight.

more info: https://t.co/686cRRLQUZ… https://t.co/AJm6qFYVT9",2022-05-03 11:36:05+00:00,tirthyatraindia,0,1.52E+18,
274,@airindiain @BhavyaMuchhal Flying in the same flight. Can't trust AirIndia again. https://t.co/uEkCdaF1ix,2022-05-03 11:27:25+00:00,1779182c58314c5,4,1.52E+18,"Uttar Pradesh, India"
275,"RT @AbhinavChoudhar: Attempt#9-@airindiain still waiting for my full refund to arrive for a flight cancelled by AirIndia.
PNR HFT9B, 
E-tic…",2022-05-03 11:24:35+00:00,Flight_Refunds,14766,1.52E+18,"London, UK"
276,"Attempt#9-@airindiain still waiting for my full refund to arrive for a flight cancelled by AirIndia.
PNR HFT9B, 
E-… https://t.co/2EdGiCw2cv",2022-05-03 11:18:29+00:00,AbhinavChoudhar,7,1.52E+18,"Reading, England"
277,@AirIndia I just landed in JFK after a 14 hrs+ flight from Delhi. Sadly the entertainment system did not work at al… https://t.co/ux5Gudqr9F,2022-05-03 11:05:01+00:00,SunnyPh16114611,2,1.52E+18,
